,Earnings,Earnings,Earnings,Earnings,Earnings,Players,Players,Players,Players,Players,Tournaments,Tournaments,Tournaments,Tournaments,Tournaments
,sum,mean,median,min,max,sum,mean,median,min,max,sum,mean,median,min,max
Guilty Gear Xrd REV 2,116634.7,4021.886206896552,1590.0,80.0,33000.0,237,8.172413793103448,8.0,3,16,49,1.6896551724137931,2.0,1,3
Guitar Hero 5,10500.0,10500.0,10500.0,10500.0,10500.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Guitar Hero III: Legends of Rock,19000.0,19000.0,19000.0,19000.0,19000.0,8,8.0,8.0,8,8,1,1.0,1.0,1,1
Gundam Versus,280.0,280.0,280.0,280.0,280.0,6,6.0,6.0,6,6,1,1.0,1.0,1,1
Guns of Boom,198750.0,24843.75,6050.0,700.0,100000.0,32,4.0,4.0,0,8,18,2.25,2.0,1,4
Gwent,841757.1699999999,36598.13782608695,25000.0,200.0,200000.0,493,21.434782608695652,11.0,3,87,110,4.782608695652174,2.0,1,17
H1Z1,1767122.0,252446.0,250000.0,75000.0,482000.0,181,25.857142857142858,25.0,18,34,13,1.8571428571428572,2.0,1,3
HYPERFIGHT,50.0,50.0,50.0,50.0,50.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Halo 2,1489362.47,55161.572962962964,38975.0,5000.0,308000.0,659,24.40740740740741,27.0,8,36,71,2.6296296296296298,2.0,1,9
Halo 2 Anniversary,468705.05,42609.549999999996,21385.0,1038.41,150000.0,299,27.181818181818183,32.0,12,44,20,1.8181818181818181,2.0,1,3
Halo 3,2158079.4,74416.53103448276,56000.0,800.0,350000.0,853,29.413793103448278,32.0,0,65,40,1.3793103448275863,1.0,1,3
Halo 4,430748.76,39158.97818181818,10000.0,2250.0,300000.0,134,12.181818181818182,16.0,0,17,17,1.5454545454545454,1.0,1,3
Halo 5: Guardians,7061480.97,271595.4219230769,95251.315,2250.0,2504265.8,1095,42.11538461538461,46.5,8,80,75,2.8846153846153846,2.0,1,15
Halo: Combat Evolved,299281.0,23021.615384615383,14950.0,825.0,68000.0,231,17.76923076923077,14.0,0,41,39,3.0,3.0,1,5
Halo: Reach,822089.97,54805.998,56000.0,1267.9,287000.0,336,22.4,16.0,0,48,26,1.7333333333333334,2.0,1,3
Hand of the Gods,94434.2,13490.6,9500.0,34.2,50000.0,90,12.857142857142858,13.0,1,24,36,5.142857142857143,2.0,1,12
Hearthstone,23093378.24,281626.563902439,225341.10499999998,25.0,1109486.78,6837,83.3780487804878,78.5,1,244,897,10.939024390243903,10.0,1,37
Heavy Metal Machines,12339.33,12339.33,12339.33,12339.33,12339.33,35,35.0,35.0,35,35,1,1.0,1.0,1,1
Heroes of Newerth,2915206.56,38357.98105263158,19819.239999999998,500.0,303797.09,3165,41.64473684210526,40.0,0,150,371,4.881578947368421,4.0,1,19
Heroes of the Storm,18177982.65,302966.3775,201667.745,300.0,1509144.0,5675,94.58333333333333,78.5,0,280,463,7.716666666666667,3.0,1,33
Hokuto no Ken,145.0,145.0,145.0,145.0,145.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Hyper Scape,299000.0,149500.0,149500.0,98400.0,200600.0,303,151.5,151.5,123,180,4,2.0,2.0,2,2
Hyper Street Fighter II,10250.0,10250.0,10250.0,10250.0,10250.0,8,8.0,8.0,8,8,1,1.0,1.0,1,1
